trap,galgo,odd_dec,odd_frac,data_fodds,onde,quando,mercado
1,Alexs Bear,2.5,6/4,2.63,oxford,2023-06-06 13:17,winner
2,Swift Quincey,2.63,13/8,2.63,oxford,2023-06-06 13:17,winner
6,Blastout Wilma,4.5,7/2,4.5,oxford,2023-06-06 13:17,winner
5,Loveyouson,5.5,9/2,4.5,oxford,2023-06-06 13:17,winner
1,Alexs Bear,1.33,1/3,1.4,oxford,2023-06-06 13:17,top-2-finish
2,Swift Quincey,1.36,4/11,1.4,oxford,2023-06-06 13:17,top-2-finish
6,Blastout Wilma,1.91,10/11,2.0,oxford,2023-06-06 13:17,top-2-finish
5,Loveyouson,2.2,6/5,2.0,oxford,2023-06-06 13:17,top-2-finish
5,Loveyouson,2.88,15/8,2.88,oxford,2023-06-06 13:17,top-3-finish
6,Blastout Wilma,3.0,2,3.0,oxford,2023-06-06 13:17,top-3-finish
2,Swift Quincey,3.4,12/5,3.6,oxford,2023-06-06 13:17,top-3-finish
1,Alexs Bear,4.33,10/3,4.33,oxford,2023-06-06 13:17,top-3-finish
1,Alexs Bear,2.5,6/4,2.63,oxford,2023-06-06 13:17,winner
2,Swift Quincey,2.63,13/8,2.63,oxford,2023-06-06 13:17,winner
6,Blastout Wilma,4.5,7/2,4.5,oxford,2023-06-06 13:17,winner
5,Loveyouson,5.5,9/2,4.5,oxford,2023-06-06 13:17,winner
1,Alexs Bear,1.33,1/3,1.4,oxford,2023-06-06 13:17,top-2-finish
2,Swift Quincey,1.36,4/11,1.4,oxford,2023-06-06 13:17,top-2-finish
6,Blastout Wilma,1.91,10/11,2.0,oxford,2023-06-06 13:17,top-2-finish
5,Loveyouson,2.2,6/5,2.0,oxford,2023-06-06 13:17,top-2-finish
5,Loveyouson,2.88,15/8,2.88,oxford,2023-06-06 13:17,top-3-finish
6,Blastout Wilma,3.0,2,3.0,oxford,2023-06-06 13:17,top-3-finish
2,Swift Quincey,3.4,12/5,3.6,oxford,2023-06-06 13:17,top-3-finish
1,Alexs Bear,4.33,10/3,4.33,oxford,2023-06-06 13:17,top-3-finish
1,Alexs Bear,2.5,6/4,2.63,oxford,2023-06-06 13:17,winner
2,Swift Quincey,2.63,13/8,2.63,oxford,2023-06-06 13:17,winner
6,Blastout Wilma,4.5,7/2,4.5,oxford,2023-06-06 13:17,winner
5,Loveyouson,5.5,9/2,4.5,oxford,2023-06-06 13:17,winner
1,Alexs Bear,1.29,2/7,1.4,oxford,2023-06-06 13:17,top-2-finish
